,mean_auc_drop
structure,0.00011415243660613712
up_frac_20,0.0001132456310997491
di_diff_l1,0.0001125501127755187
hrs_to_nfp,0.0001090768375262563
range_atr,0.00010238246442773047
ema20_dist,0.00010230415603407206
macd_hist_n_l1,9.306855788519346e-05
dist_vwap_day_l1,9.096550997041615e-05
dist_fvg_bear,9.017533677827909e-05
dist_day_high,8.990080355331109e-05
close_streak,7.930425827777181e-05
sweep_high_8,7.403612280435883e-05
is_nfp_day,7.018744689209673e-05
hrs_to_fomc,6.962528415384768e-05
bb_pos_l2,6.628882348014287e-05
compression_20,6.545808411155078e-05
range_sum_z,5.871902789996349e-05
stoch_k_l2,5.814734883162013e-05
rv_8,5.4653274347393754e-05
bb_pos_l1,5.27428300936735e-05
di_diff_l2,5.092944353846107e-05
is_fomc_day,4.7615207856862206e-05
hh,3.840710824631888e-05
body_frac,3.783822994407604e-05
body_atr_l2,3.100845001968722e-05
ret_32,2.945726430858553e-05
fvg_bull,2.271806832646976e-05
body_atr_l1,2.025433503005658e-05
efficiency_1,1.773791164424073e-05
m1_imb_l1,1.754761520970464e-05
sweep_low_8,1.6638427417762596e-05
vol_expansion_l2,1.4942174769568458e-05
bos_up,1.4868196355470134e-05
div_rsi,1.4676034641891711e-05
fvg_bear_32,1.3466482181886027e-05
is_london_open_hour,1.2214246875474899e-05
atr_ratio,8.362260457861481e-06
m1_imb,5.303418388225012e-06
is_1400_window,3.0375543424998597e-06
engulf,2.981528310611973e-06
is_ny_open_hour,1.9896942842582512e-06
close_pos_l2,1.4337316521044012e-06
sweep_low_l2,4.5440675596382835e-07
sweep_high_l2,0.0
bos_dn_l1,0.0
bos_dn_l2,0.0
sweep_low_l1,0.0
sweep_high,0.0
bos_dn,0.0
choch,0.0
fvg_bear,0.0
bar_gap_min,0.0
after_gap,0.0
bos_up_l1,0.0
weekend_gap_atr,0.0
is_1000_window,0.0
inside_bar,0.0
sweep_high_l1,-2.265716763686735e-06
outside_bar,-3.6155720992692153e-06
bos_up_l2,-3.860295748392417e-06
sweep_low,-4.708381672694865e-06
squeeze,-5.3767543019001e-06
n_m1,-5.731455223275302e-06
absret_z_l2,-7.935358936950188e-06
m1_imb_l2,-9.546696610018834e-06
up_frac_3,-1.46385290556994e-05
sess_overlap,-1.7101423798922728e-05
below_pdl,-1.8138183102552514e-05
dist_pdc,-1.8679963151931506e-05
kc_pos,-2.0405162046414443e-05
ret_1,-2.2823974942428233e-05
stoch_k_l1,-2.36236816527254e-05
close_pos_l1,-2.803561717035219e-05
efficiency_8,-2.858886312662179e-05
ret_z_480,-3.460460786404903e-05
ret_z_16,-3.481036629822872e-05
rsi14,-3.507619154885511e-05
atr14_rank_1y,-3.631763509700144e-05
efficiency_1_l1,-3.8829798443532994e-05
ema100_slope,-4.444800102150944e-05
sess_ny,-4.6823170261500735e-05
efficiency_1_l2,-5.171192581121531e-05
cci20,-5.7002467356478036e-05
ret_16,-5.857023757712317e-05
gap_atr,-5.8696658952935486e-05
last_bos_dir,-6.006522016573553e-05
body_atr,-6.16253579741229e-05
sess_tokyo,-7.184280542904542e-05
sess_london,-7.794855098127347e-05
ll,-7.868565681072119e-05
ema20_slope,-8.088264527465287e-05
bb_pos,-8.569793085333455e-05
di_diff,-8.81352591566668e-05
ret_1_l1,-0.00011109588889857136
ret_8,-0.000112963158391155
stoch_k,-0.00014126039136230784
adx14_l2,-0.00014169141864665372
is_sunday_open,-0.00014320725572573392
vol_expansion_l1,-0.00014405452968953755
gap_atr_l1,-0.00015187656800741411
upwick_frac,-0.000162107527556928
absret_z_l1,-0.00016637122861976975
ret_1_l2,-0.00017197902498996184
gap_atr_l2,-0.00017830564088712938
bb_width,-0.00019778367090380242
ema50_dist,-0.0002051978732656723
adx14_l1,-0.00020624277568255986
rsi28,-0.00020777351118846563
lr_slope_20,-0.00021431902084497376
dist_r10,-0.0002318257727692563
pos_in_day_range,-0.0002457417259181434
sma20_dist,-0.0002463847915784208
up_frac_8,-0.00024661571424844375
stoch_d,-0.00025701936797091945
dist_day_open,-0.00025974920488928505
range_atr_l1,-0.00027947781453696585
mins_to_ny_close,-0.000330982970799365
willr14,-0.00034496072111578346
dist_week_open,-0.0003503522366134308
fvg_bull_32,-0.00035746533602868763
ema50_slope,-0.0003639838470982741
dist_month_open,-0.00039644579428547527
macd_n,-0.0004158138694686138
lr_r2_96,-0.0004209993724268261
rsi7,-0.0004475194811008147
ema200_slope,-0.00047040220079245615
donch_pos_20,-0.0004805986545229161
m1_imb_32,-0.0004935992223662847
ret_kurt_96,-0.0005184677314301981
donch_pos_96,-0.0005205965069874733
aroon_dn,-0.0005273287585273086
ret_4,-0.0005314508715231389
dow,-0.0005887479605868329
day_range_atr,-0.0006046719865692163
ema100_dist,-0.0006344818475389294
adx14,-0.0006711399881096739
is_friday_pm,-0.0006736734361502498
donch_width_20,-0.0006751675092348345
atr14_p,-0.0007006694894850692
days_since_event,-0.0007477002247502362
park_20,-0.0008568407961857538
dist_swing_high,-0.0008841366302028512
m1_imb_8,-0.0009650580914596363
day_of_month,-0.0016221216549866524
