,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
outside_bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.176250457763672,0.0
ema8_dist,675.9207365512848,670.2085137367249,681.8344798088074,734.1776666641235,1002.7656450271606,687.4874591827393,798.6952509880066,1027.7950439453125,866.1297154426575,1012.7219929695129,907.9686088562012,887.924822807312,1254.1327772140503
ema8_slope,1141.297016620636,1242.1099286079407,1205.0347533226013,1386.310863494873,1742.4551100730896,1675.4297513961792,1382.2800841331482,1610.0842852592468,1391.1677432060242,1581.3606209754944,1351.4070596694946,1384.226490020752,1311.0211567878723
ema20_dist,610.2552790641785,979.709554195404,945.4358019828796,864.6702432632446,662.4787645339966,807.1845445632935,997.0900964736938,1185.9545440673828,1077.8435821533203,1264.4644441604614,1485.041244983673,944.7736468315125,951.3403992652893
ema20_slope,768.3785600662231,836.8815612792969,901.0129895210266,665.0255913734436,937.1939811706543,804.1996660232544,801.5835585594177,784.3882298469543,1315.0387082099915,1151.7564296722412,778.3552021980286,1213.3928298950195,1318.049500465393
ema50_dist,961.6904516220093,1060.378430366516,1284.2399787902832,1294.9211521148682,1414.7982187271118,997.7222180366516,897.2359175682068,1203.0042610168457,941.0096206665039,1147.706226348877,1383.8562836647034,1239.608136177063,1195.137635231018
ema50_slope,1691.9645819664001,1206.715169429779,1248.9143352508545,1015.3305187225342,1695.401035308838,1347.407919883728,1276.032503604889,1118.4802541732788,1696.2854652404785,1585.3156962394714,1737.1649227142334,1397.025203704834,1389.885256767273
ema100_dist,1693.274257659912,1651.243022441864,1781.1609086990356,1367.4740648269653,1863.6257438659668,1656.2188711166382,1907.2051334381104,2226.186986923218,2304.5553107261658,2022.561050415039,2643.0549755096436,1923.6383037567139,2347.377607822418
ema100_slope,1810.9396319389343,1622.2700939178467,1891.8537521362305,1756.043037891388,2233.374750137329,2245.3178911209106,1964.1252946853638,1727.7822728157043,2151.3452348709106,2354.792109489441,2443.7225484848022,1962.840168952942,2443.32231426239
ema200_dist,2435.0435009002686,3051.571964740753,2934.3722887039185,2918.1638503074646,3151.961290359497,3090.6468648910522,3359.21405172348,3952.72278881073,3432.3102440834045,4492.416080951691,4566.640323162079,4423.729874134064,3969.818209171295
ema200_slope,2444.428771018982,2726.9020652770996,2725.20667552948,2834.6915378570557,2652.4579014778137,3118.2793464660645,2960.122576713562,3771.222599029541,3900.2178506851196,3856.9131383895874,3826.7911219596863,4192.058064460754,3914.9264640808105
sma20_dist,784.1444940567017,991.1741099357605,988.685248374939,867.5959625244141,1220.725414276123,939.0950603485107,1158.5128560066223,885.2540354728699,1194.1087102890015,1073.6459069252014,986.884192943573,1145.7200231552124,1048.9613018035889
ema_ribbon,450.50722885131836,506.0179362297058,498.47852087020874,559.9838514328003,601.6395206451416,496.1405372619629,492.4496212005615,297.1238112449646,362.31409740448,438.2788038253784,645.3779344558716,561.9649000167847,593.620210647583
adx14,2750.3409819602966,3148.0866599082947,3217.833725452423,3205.52036857605,3139.914141178131,3993.9358520507812,3654.4652438163757,3359.5383563041687,3498.8953924179077,3729.050920009613,3621.265076637268,3577.481535434723,4605.907248497009
di_diff,1653.1516456604004,2241.1639709472656,2074.5674324035645,2339.9409399032593,2796.666780948639,1860.096112728119,2078.8678698539734,2130.4127702713013,2088.83967256546,2371.4119505882263,2134.6038632392883,1922.4435477256775,2006.1592321395874
aroon_up,1044.9102110862732,1023.6294016838074,1253.7253119945526,1430.5110507011414,1477.4538779258728,1323.4744472503662,1464.6795597076416,1805.015106678009,1775.3312430381775,1748.848247051239,1687.0914435386658,1387.690537929535,1464.6575932502747
aroon_dn,950.0927767753601,890.094886302948,858.2435140609741,1193.776888847351,1195.823452949524,1391.371753692627,1258.1898183822632,1401.0218238830566,850.8542232513428,1164.905963420868,1245.1265783309937,1266.411527633667,1136.3133029937744
